nacchoid,nutrition,tobacco,rurality,population
MN078,1,1,suburb,45664
MN080,1,1,rural,20573
MN081,1,1,suburb,32810
MN082,1,1,suburb,13757
MN083,1,1,rural,28559
MN084,1,1,rural,15771
MN085,0,0,suburb,45589
MN086,NA,NA,suburb,12856
MN091,1,0,suburb,74272
MN095,1,1,suburb,66917
MN097,1,1,rural,15025
MO001,1,1,suburb,25602
MO004,1,1,suburb,25887
MO006,1,1,suburb,12057
MO007,1,1,suburb,16584
MO008,1,0,rural,18806
MO009,1,1,rural,12394
MO011,1,0,suburb,42972
MO012,1,1,rural,9034
MO013,1,0,suburb,44750
MO014,0,0,rural,44021
MO015,1,1,suburb,78043
MO016,1,0,suburb,9043
MO017,1,1,rural,6258
MO018,1,1,suburb,100692
MO019,1,NA,rural,7694
MO021,1,1,rural,6917
MO022,1,1,urban,114515
MO024,1,0,urban,76557
MO025,1,1,urban,172717
MO026,1,1,suburb,17585
MO027,0,0,rural,24650
MO028,1,1,rural,7628
MO030,1,1,rural,8297
MO031,1,0,suburb,15655
MO032,1,1,suburb,13546
MO033,1,1,suburb,31344
MO034,1,1,suburb,102084
MO035,0,0,suburb,14866
MO036,1,1,suburb,10197
MO037,1,1,suburb,8639
MO038,1,1,suburb,22028
MO039,1,1,rural,9219
MO041,1,1,suburb,10159
MO042,1,1,urban,117494
MO044,0,0,urban,260013
MO045,0,1,suburb,73239
MO046,1,1,urban,222716
MO047,1,0,suburb,54362
MO048,1,1,urban,51316
MO049,0,0,rural,470800
MO050,1,1,rural,4000
MO051,1,0,suburb,35439
MO052,1,1,rural,32688
MO053,1,1,suburb,38023
MO054,0,0,rural,10138
MO056,1,0,suburb,12311
MO057,1,0,suburb,15053
MO058,NA,1,suburb,15479
MO059,1,1,rural,12368
MO060,1,1,suburb,28920
MO061,1,1,rural,22800
MO062,NA,NA,rural,3719
MO063,1,1,rural,25141
MO064,1,1,suburb,14232
MO065,1,NA,suburb,15856
MO066,1,1,rural,8707
MO069,1,1,suburb,18272
MO070,1,1,suburb,51586
MO071,1,1,suburb,23081
MO072,1,1,rural,10911
MO074,1,1,rural,9492
MO075,NA,NA,suburb,17650
MO076,NA,NA,rural,19202
MO077,1,1,suburb,42225
MO078,1,0,suburb,53860
MO079,1,0,suburb,18541
MO080,1,1,urban,49036
MO081,1,1,suburb,31054
MO083,1,1,rural,4829
MO084,1,0,suburb,10255
MO085,0,0,suburb,25072
MO087,1,1,rural,6565
MO088,1,1,rural,13969
MO089,1,0,suburb,23347
MO091,1,NA,rural,4863
MO093,1,NA,rural,8329
MO094,1,0,rural,6108
MO096,1,1,urban,379493
MO099,1,1,suburb,17914
MO100,1,1,urban,89486
MO101,1,1,urban,317419
MO102,1,1,urban,1001876
MO103,1,1,rural,29867
MO105,1,0,rural,6411
MO106,1,1,suburb,54230
MO107,1,0,rural,25642
MO108,1,0,rural,21591
MO109,1,1,suburb,21001
MO112,1,1,suburb,65960
MO113,1,NA,suburb,36888
MO114,1,0,rural,18291
MO130,1,1,suburb,40173
MO132,1,0,rural,13703
MS014,1,1,urban,482546
MS025,1,1,suburb,208661
MS085,1,1,suburb,241941
MS086,1,1,suburb,369547
MS087,1,1,suburb,325347
MS088,1,0,urban,308894
MS089,1,1,suburb,171183
MS090,1,1,suburb,245289
MS091,0,1,urban,640671
MT001,1,0,suburb,9345
MT003,1,1,rural,6619
MT006,0,1,rural,10399
MT009,1,1,rural,5894
MT010,1,0,suburb,12092
MT011,0,0,rural,1793
MT012,0,1,suburb,9518
MT014,1,1,rural,3108
MT015,0,0,suburb,21461
MT016,1,0,suburb,94924
MT018,1,1,rural,1309
MT021,0,0,rural,3209
MT024,1,0,suburb,11558
MT026,0,1,suburb,29099
MT027,1,1,suburb,65856
MT029,0,0,rural,19125
MT030,0,0,rural,7820
MT031,0,0,rural,1694
MT032,0,0,rural,1853
MT033,1,1,rural,4257
MT034,1,1,urban,112684
MT040,0,1,rural,1783
MT042,0,0,rural,1148
MT043,0,0,suburb,41030
MT044,1,1,suburb,11576
MT045,1,1,suburb,11332
MT046,0,0,rural,9326
MT047,0,1,rural,11364
MT048,1,1,rural,3696
MT049,0,0,rural,9290
MT051,1,1,rural,6064
MT052,1,1,suburb,5150
MT053,1,1,suburb,7640
MT055,1,0,rural,1121
MT057,0,1,rural,692
NC001,1,1,urban,155792
NC002,1,1,urban,37392
NC003,1,1,suburb,25765
NC004,1,1,suburb,90565
NC005,1,1,suburb,47585
NC007,1,1,suburb,34657
NC008,NA,NA,urban,118836
NC009,0,0,urban,250539
NC010,1,1,urban,89486
NC011,1,NA,urban,192103
NC012,1,1,urban,81484
NC013,0,1,suburb,68811
NC014,1,0,urban,154534
NC015,1,1,urban,68698
NC016,0,1,rural,27141
NC018,1,1,suburb,97076
NC019,1,1,suburb,56953
NC020,1,1,suburb,104510
NC021,1,1,urban,326328
NC024,1,1,suburb,164072
NC025,1,1,suburb,41434
NC026,1,1,rural,59882
NC027,1,1,urban,294460
NC028,1,1,suburb,54933
NC029,1,1,urban,365298
NC030,1,1,suburb,62860
NC031,1,1,urban,211127
NC032,1,1,suburb,35104
NC033,1,1,suburb,103114
NC034,1,1,rural,21093
NC035,1,1,urban,512119
NC036,1,1,suburb,52970
NC037,1,1,suburb,126666
NC039,1,1,urban,111149
NC040,1,1,rural,24308
NC041,1,1,urban,51611
NC042,1,1,rural,5676
NC043,1,1,suburb,166675
NC045,1,1,suburb,181423
NC046,1,1,suburb,10076
NC047,1,1,suburb,59662
NC048,1,1,suburb,58485
NC049,1,1,suburb,79829
NC050,1,1,rural,33875
NC051,1,1,urban,21157
NC052,1,1,suburb,40139
NC053,1,1,urban,1012539
NC054,1,1,suburb,27395
NC056,1,0,urban,94357
NC057,1,0,urban,216298
NC058,0,1,rural,20463
NC059,1,0,urban,187589
NC060,1,1,urban,140420
NC062,1,1,rural,12948
NC063,1,1,urban,56250
NC064,1,1,suburb,39132
NC065,1,1,urban,175354
NC066,1,1,suburb,142778
NC067,1,0,suburb,45733
NC068,1,1,suburb,134760
NC069,1,1,suburb,91696
NC070,1,0,suburb,138630
NC071,1,1,suburb,131922
NC072,1,1,suburb,64050
NC073,1,1,suburb,35576
NC074,1,1,suburb,60600
NC076,1,1,rural,72968
NC078,1,1,rural,50698
NC079,0,1,suburb,33045
NC081,1,1,urban,998691
NC082,1,0,rural,20231
NC084,NA,NA,suburb,68838
NC085,1,1,suburb,81401
NC086,1,0,suburb,37792
NC088,1,1,rural,14274
NC089,1,1,rural,8644
NC093,1,1,suburb,134805
ND001,1,1,urban,90503
ND002,0,1,suburb,23073
ND003,1,1,suburb,11144
ND004,1,1,urban,47201
ND005,NA,NA,rural,3422
ND006,1,1,urban,167005
ND007,1,1,suburb,97758
ND008,0,1,rural,3362
ND009,1,1,urban,70138
ND010,1,1,rural,2424
ND011,1,1,suburb,25178
ND012,0,1,rural,2801
ND013,0,1,rural,5364
ND014,1,1,rural,7128
ND015,0,1,rural,5446
ND016,1,1,suburb,16432
ND017,1,1,rural,3931
ND018,1,1,suburb,46553
ND019,0,1,rural,1955
ND020,0,1,rural,8082
ND021,1,1,suburb,55340
ND022,1,1,suburb,10970
ND023,1,1,rural,4192
ND024,0,1,rural,3855
ND025,1,1,rural,5150
ND026,1,1,rural,14616
ND027,0,1,rural,2310
ND028,1,1,rural,4149
NE003,1,0,urban,20850
NE004,1,1,urban,543244
NE005,1,0,suburb,78393
NE008,1,1,rural,56843
NE012,0,0,suburb,38987
NE014,1,1,suburb,44587
NE019,0,1,suburb,36465
NE020,1,1,suburb,45799
NE022,1,1,suburb,52093
NE024,1,0,suburb,30792
NE025,1,1,rural,30711
NE026,1,1,suburb,45474
NE027,1,1,rural,50901
NE028,1,1,suburb,54141
NE029,1,1,urban,197717
NE030,1,1,suburb,39170
NE031,1,0,suburb,96689
NE032,1,1,suburb,38931
NH008,1,1,urban,110448
NH010,0,0,urban,87259
NH012,0,0,urban,21598
NJ005,1,1,urban,301815
NJ006,1,1,urban,27406
NJ007,1,0,urban,58553
NJ010,0,1,urban,44903
NJ011,1,1,urban,449722
NJ012,0,1,urban,511038
NJ013,NA,NA,urban,95344
NJ016,0,0,urban,10065
NJ018,1,1,urban,16362
NJ023,1,1,urban,65078
NJ025,0,0,urban,21551
NJ028,1,1,urban,20374
NJ035,0,0,urban,54674
NJ036,1,1,urban,290951
NJ037,1,0,urban,44519
NJ038,0,1,urban,116672
NJ039,1,1,urban,41098
NJ046,1,0,urban,126067
NJ047,1,1,urban,54512
NJ048,1,NA,urban,21483
NJ049,1,1,urban,262146
NJ050,NA,NA,urban,44672
NJ052,0,0,urban,10482
NJ053,1,0,urban,41651
NJ054,1,1,urban,50332
NJ056,1,1,urban,7528
NJ057,0,0,urban,30522
NJ058,1,1,urban,52952
NJ060,0,1,urban,24657
NJ063,0,1,urban,44766
NJ064,1,1,urban,588340
NJ069,1,0,urban,129481
NJ070,1,1,urban,27934
NJ071,1,1,urban,21842
NJ072,0,0,urban,19085
NJ073,1,1,urban,62311
NJ074,1,0,urban,104494
NJ075,1,1,urban,280579
NJ077,1,1,urban,578773
NJ079,0,0,urban,20471
NJ080,1,0,urban,26832
NJ082,1,1,urban,71509
NJ083,1,1,urban,508856
NJ084,1,0,urban,212055
NJ085,1,1,urban,33130
NJ086,0,0,urban,50001
NJ089,1,1,urban,30108
NJ095,1,0,urban,42074
NJ105,1,1,urban,144909
NJ109,0,0,urban,65985
NJ111,1,1,urban,61171
NJ113,1,1,urban,106917
NJ114,1,1,urban,16925
NJ117,0,0,urban,25364
NJ119,1,1,urban,49090
NJ120,1,1,urban,121862
NJ122,1,1,urban,127745
NJ124,0,0,urban,18400
NJ125,1,1,urban,39415
NJ128,0,0,urban,62602
NJ129,1,1,urban,15460
NJ130,1,1,urban,50955
NJ131,0,0,urban,180408
NJ135,0,0,urban,287026
NJ138,0,0,urban,48144
NJ139,0,0,urban,669115
NJ140,0,0,urban,795723
NJ142,1,1,urban,66215
NJ143,1,1,urban,30934
NJ144,0,0,urban,207005
NJ145,1,1,urban,100443
NJ146,1,0,urban,96218
NJ151,1,0,urban,11289
NM012,1,1,urban,293666
NM013,1,0,urban,369278
NM014,1,1,suburb,292809
NM054,0,0,urban,675551
NM076,0,0,urban,225232
NM077,1,1,urban,904587
NV001,NA,NA,urban,2069681
NV002,1,1,urban,440078
NV007,1,1,urban,54522
NV026,1,1,suburb,274818
NY001,1,1,urban,308171
NY004,1,1,suburb,78600
NY005,0,0,suburb,78823
NY007,0,1,urban,87770
NY008,1,1,suburb,49426
NY009,1,0,suburb,81632
NY010,NA,1,suburb,62122
NY011,0,1,suburb,49024
NY012,1,0,rural,46581
NY013,1,0,urban,296579
NY014,1,1,urban,922835
NY015,1,1,rural,38679
NY016,0,0,suburb,51262
NY017,1,1,suburb,54105
NY018,0,0,suburb,59162
NY019,NA,NA,suburb,47967
NY020,1,1,rural,4715
NY021,1,0,suburb,63744
NY022,0,0,suburb,119103
NY023,0,1,suburb,27220
NY024,1,1,rural,64586
NY026,1,1,urban,749857
NY027,1,1,suburb,49779
NY029,1,1,urban,8491079
NY030,1,1,suburb,213525
NY031,1,1,urban,232871
NY032,1,1,urban,468196
NY034,0,0,suburb,41984
NY035,0,0,rural,61128
NY036,0,1,suburb,120913
NY037,1,1,urban,99487
NY039,1,1,urban,159774
NY040,1,1,urban,323866
NY041,1,0,urban,224921
NY043,1,1,urban,155735
NY044,1,1,urban,31566
NY045,1,1,suburb,18479
NY046,0,1,suburb,34884
NY047,0,0,suburb,111400
NY048,1,1,suburb,98394
NY049,1,1,urban,1502968
NY050,1,1,suburb,75943
NY053,0,1,urban,180445
NY054,1,1,urban,64973
NY056,0,1,suburb,92051
NY057,1,0,urban,972634
NY059,1,1,suburb,25208
NY060,1,1,urban,376099
OH001,1,1,suburb,28129
OH003,1,1,urban,108165
OH004,1,1,suburb,22078
OH009,1,0,suburb,45841
OH013,1,0,urban,69461
OH020,NA,1,urban,265726
OH022,1,1,urban,72297
OH023,1,1,suburb,30134
OH025,1,1,urban,298165
OH026,0,1,urban,27790
OH027,1,0,urban,136554
OH028,1,1,urban,199599
OH029,1,1,urban,389521
OH031,1,1,suburb,41835
OH033,1,1,urban,835957
OH034,1,1,suburb,12813
OH035,1,1,suburb,25409
OH036,1,0,suburb,32314
OH037,1,1,urban,842517
OH039,0,0,suburb,38510
OH040,1,1,urban,173213
OH042,1,1,suburb,10951
OH044,1,1,urban,53972
OH045,1,1,urban,81641
OH048,1,1,suburb,41098
OH049,1,1,urban,451470
OH050,1,1,suburb,42580
OH051,0,0,suburb,10175
OH054,0,1,urban,94295
OH057,1,1,urban,163352
OH059,0,0,urban,62486
OH060,0,1,urban,494672
OH063,1,1,suburb,27937
OH065,1,0,rural,43898
OH066,0,1,suburb,63180
OH068,1,1,urban,10995
OH069,0,1,suburb,32748
OH070,1,0,urban,49391
OH072,1,0,suburb,31796
OH073,1,1,suburb,61167
OH074,1,1,urban,229230
OH078,1,1,urban,160442
OH080,1,1,suburb,28725
OH081,0,0,urban,63776
OH082,1,1,urban,180653
OH084,1,1,suburb,43918
OH085,1,1,urban,167443
OH086,1,1,urban,112854
OH092,1,0,suburb,175914
OH093,1,1,rural,23331
OH094,0,0,suburb,40831
OH095,1,1,urban,82139
OH096,0,0,urban,48791
OH098,1,1,rural,14465
OH099,1,1,urban,524262
OH100,0,0,suburb,14843
OH101,0,1,suburb,35143
OH106,1,0,suburb,14363
OH109,1,0,suburb,41154
OH110,1,0,suburb,18989
OH113,0,0,suburb,28256
OH114,0,1,suburb,20759
OH115,0,1,urban,131954
OH116,0,0,suburb,20326
OH118,1,1,suburb,41586
OH119,1,0,suburb,34171
OH124,1,1,suburb,55715
OH125,0,0,suburb,56932
OH126,1,0,suburb,59615
OH128,0,1,suburb,9088
OH129,0,1,suburb,48951
OH130,0,1,urban,11212
OH132,1,1,urban,247181
OH133,0,0,urban,18303
OH139,1,1,urban,164531
OH140,1,1,suburb,75350
OH141,1,1,urban,53776
OH143,1,0,suburb,25337
OH145,1,1,urban,219257
OH147,1,0,urban,40823
OH148,1,0,suburb,115652
OH149,0,0,suburb,37291
OH150,1,1,suburb,128553
OH151,1,1,suburb,22353
OH152,0,0,urban,65062
OH153,1,1,suburb,85818
OH157,1,1,suburb,65720
OH159,0,1,suburb,12087
OH160,1,1,urban,542232
OH161,0,1,rural,83317
OK001,1,1,rural,22186
OK004,1,1,rural,5486
OK005,1,1,suburb,23691
OK006,1,1,suburb,9917
OK008,1,1,suburb,29317
OK009,1,1,suburb,129582
OK010,1,1,suburb,48821
OK011,1,1,suburb,48341
OK014,1,1,urban,269908
OK016,1,1,urban,125033
OK017,1,1,suburb,6150
OK018,1,1,suburb,14582
OK019,1,1,urban,70632
OK020,1,1,suburb,41047
OK021,1,1,rural,41446
OK024,1,1,suburb,68881
OK025,1,1,suburb,27561
OK026,1,1,suburb,53854
OK027,1,1,rural,4501
OK028,1,1,suburb,6151
OK031,1,1,suburb,12896
OK032,1,1,suburb,13806
OK033,1,1,suburb,25998
OK034,1,1,rural,6292
OK035,1,1,suburb,11103
OK036,1,1,suburb,45478
OK037,1,1,suburb,15532
OK038,1,1,suburb,9336
OK040,1,1,suburb,49761
OK041,1,1,suburb,34619
OK042,1,1,urban,45276
OK043,1,1,rural,9773
OK044,1,1,rural,7750
OK045,1,1,suburb,16182
OK046,1,1,suburb,40816
OK047,1,1,suburb,37313
OK049,1,1,rural,20088
OK050,1,1,suburb,13803
OK051,1,1,suburb,69966
OK052,1,1,suburb,11494
OK053,1,1,rural,3812
OK054,1,1,suburb,12186
OK055,1,1,urban,766215
OK056,1,1,suburb,39095
OK058,1,1,suburb,32105
OK059,1,1,rural,16401
OK060,1,1,suburb,80264
OK063,1,1,suburb,71811
OK066,1,1,suburb,89815
OK067,1,1,suburb,25421
OK068,1,1,suburb,41358
OK069,1,1,suburb,44493
OK070,1,1,suburb,21853
OK071,1,0,suburb,7628
OK072,1,1,urban,629598
OK073,1,1,suburb,75702
OK074,1,1,suburb,51937
OK076,1,1,suburb,9288
OK077,1,1,suburb,21529
OK082,1,1,suburb,47981
OR001,1,1,suburb,16059
OR002,1,1,urban,86316
OR003,1,1,urban,394972
OR004,1,1,suburb,37474
OR005,1,1,suburb,49459
OR006,1,1,suburb,62475
OR007,1,1,suburb,20998
OR008,1,1,rural,22335
OR009,1,1,urban,170388
OR010,0,0,suburb,106972
OR012,1,1,rural,7180
OR014,1,1,suburb,22885
OR015,1,1,suburb,22192
OR016,1,1,suburb,83599
OR018,1,1,suburb,7838
OR019,1,1,urban,358337
OR020,1,1,suburb,46406
OR021,1,1,suburb,119356
OR022,0,1,urban,326110
OR023,0,1,rural,11187
OR024,1,1,urban,776712
OR025,0,1,suburb,77916
OR027,1,1,suburb,76705
OR028,1,1,suburb,25691
OR029,1,1,rural,6820
OR031,0,1,urban,562998
OR032,0,1,rural,1375
OR033,1,1,suburb,101758
OR034,1,1,suburb,30359
PA001,1,1,urban,1231255
PA002,1,0,urban,119104
PA003,1,1,urban,75135
PA005,1,1,urban,512784
PA007,1,1,urban,278443
PA012,1,1,urban,816857
PA013,1,1,urban,707502
PA014,0,0,urban,40814
PA015,0,0,urban,635783
PA016,1,1,urban,1560297
PA019,1,1,urban,1655335
PA020,0,0,urban,1655768
PA021,0,0,urban,1464212
PA023,1,1,urban,43865
PA063,0,1,urban,1363370
SC101,1,1,urban,1397508
SC102,1,1,urban,896814
SC103,1,1,urban,1118732
SC104,1,1,urban,1419428
SD006,1,1,urban,168586
SD077,1,1,suburb,73112
SD078,1,1,suburb,97529
SD079,1,1,suburb,89967
SD080,1,1,suburb,53742
SD081,NA,NA,suburb,94897
SD082,1,1,urban,286075
SD083,1,1,urban,122460
TN001,1,1,suburb,75528
TN002,1,1,suburb,46627
TN003,1,1,rural,16145
TN004,1,1,rural,13931
TN005,1,1,urban,126339
TN006,1,1,urban,102975
TN007,1,1,suburb,39918
TN008,1,1,urban,13757
TN009,1,1,rural,28370
TN010,1,1,urban,56886
TN012,1,1,urban,39764
TN013,1,1,suburb,17379
TN014,1,1,suburb,31592
TN015,1,1,rural,7765
TN016,1,1,suburb,35374
TN017,1,1,suburb,53623
TN018,1,1,rural,14668
TN019,1,1,suburb,57985
TN020,1,1,urban,668347
TN021,NA,NA,rural,11666
TN022,1,1,suburb,19268
TN023,1,1,suburb,50575
TN025,1,1,suburb,37935
TN028,1,1,urban,39011
TN029,1,1,rural,17855
TN030,1,1,suburb,41402
TN031,1,1,suburb,49472
TN032,1,1,suburb,28853
TN033,1,1,rural,22864
TN034,1,1,suburb,68335
TN035,1,1,rural,13425
TN036,1,1,urban,63036
TN037,1,1,rural,6657
TN038,1,1,suburb,25965
TN039,1,1,suburb,25870
TN040,1,1,suburb,56735
TN041,1,1,suburb,18185
TN042,1,1,suburb,28009
TN043,1,1,suburb,32204
TN044,1,1,rural,24384
TN045,1,1,rural,8267
TN046,1,1,suburb,18135
TN047,1,1,suburb,11568
TN048,1,1,urban,98178
TN049,1,1,suburb,52677
TN050,1,1,suburb,17859
TN051,1,1,urban,448644
TN052,1,1,rural,7631
TN053,1,1,suburb,27382
TN054,1,1,suburb,42274
TN055,1,1,suburb,11906
TN056,1,1,suburb,33637
TN057,1,1,urban,50771
TN058,1,1,suburb,23003
TN060,1,1,urban,28407
TN061,1,1,suburb,31269
TN062,1,1,suburb,85515
TN063,1,1,suburb,52626
TN064,1,1,suburb,26267
TN065,1,1,rural,11701
TN066,1,1,urban,938803
TN067,1,1,suburb,45233
TN068,1,1,urban,189961
TN069,1,1,suburb,6319
TN070,1,1,suburb,21660
TN071,1,1,suburb,30941
TN072,1,1,suburb,22028
TN073,1,1,rural,7822
TN074,1,1,rural,5124
TN075,1,1,urban,16730
TN076,1,1,suburb,74165
TN077,NA,1,rural,32641
TN078,1,1,suburb,52748
TN079,1,1,urban,68079
TN081,1,1,urban,288906
TN082,1,1,rural,21987
TN083,1,1,rural,14704
TN084,1,1,suburb,95110
TN085,1,1,suburb,19009
TN086,1,1,rural,13279
TN088,1,1,urban,172706
TN089,1,1,suburb,61623
TN090,1,1,urban,8002
TN092,1,1,suburb,17963
TN093,1,1,urban,19113
TN094,1,1,rural,5633
TN095,1,1,suburb,39969
TN096,1,1,urban,126242
TN097,1,1,rural,16913
TN098,1,1,rural,34373
TN099,1,1,rural,26301
TN100,1,1,urban,205226
TN101,1,1,suburb,125376
TX001,1,1,urban,135143
TX003,0,0,suburb,17477
TX007,1,1,urban,1151145
TX009,0,0,urban,117585
TX010,0,0,urban,329140
TX030,0,0,urban,123204
TX111,NA,NA,urban,338124
TX112,0,1,urban,209152
TX113,0,0,suburb,37653
TX115,NA,NA,urban,354478
TX117,0,0,rural,33931
TX120,NA,1,suburb,50902
TX122,0,0,urban,612457
TX123,0,0,suburb,123694
TX131,0,1,urban,747667
TX133,0,0,urban,153904
TX134,1,1,urban,833487
TX135,0,0,urban,645420
TX137,1,0,urban,314198
TX143,NA,NA,urban,55621
TX144,1,1,urban,2020286
TX146,1,0,urban,2239558
TX150,0,NA,rural,49690
TX151,1,1,urban,80110
TX153,1,1,urban,252309
TX155,0,0,urban,293974
TX159,0,0,suburb,47894
TX160,0,0,urban,155830
TX162,0,0,suburb,514598
TX166,0,0,suburb,34720
TX167,0,0,urban,278480
TX168,1,0,urban,54540
TX170,0,0,urban,116608
TX171,1,0,urban,1855866
TX172,0,NA,suburb,185025
TX174,0,0,suburb,17328
TX177,0,0,suburb,15093
TX178,1,0,urban,93275
TX179,1,1,urban,218842
TX181,0,0,suburb,27117
TX183,1,1,urban,243441
TX184,0,1,urban,132355
TX185,1,1,urban,489250
TX187,0,1,rural,42852
TX190,NA,NA,urban,2283137
TX213,0,0,suburb,25520
TX224,0,0,urban,153887
TX236,1,1,urban,1945360
UT001,1,1,urban,172154
UT003,1,1,urban,560974
UT004,1,1,urban,329692
UT006,1,1,urban,1091742
UT008,1,1,suburb,39105
UT009,1,1,suburb,61598
UT010,NA,1,suburb,58364
UT011,1,1,suburb,27714
UT012,1,1,urban,251083
UT013,1,1,rural,15251
VA001,1,1,rural,45142
VA014,1,1,urban,179224
VA025,1,1,urban,233371
VA031,1,1,rural,109889
VA036,1,1,urban,1175622
VA045,1,1,urban,150898
VA052,1,1,urban,136879
VA057,1,0,urban,363050
VA069,0,1,urban,245428
VA070,0,1,urban,230199
VA077,1,0,urban,104827
VA078,1,1,urban,96004
VA082,1,1,urban,503349
VA084,1,1,urban,352679
VA085,NA,NA,urban,172958
VA086,1,1,urban,217853
VA100,1,1,suburb,149398
VA110,1,1,urban,348629
VA114,1,1,rural,140811
VA115,1,0,rural,82890
VA117,1,0,urban,321924
VA126,1,1,urban,99428
VA127,1,1,suburb,293467
VA128,NA,NA,urban,257835
VA129,1,0,urban,155789
VA130,1,1,suburb,91301
VA131,1,1,suburb,190942
VA133,1,1,suburb,102939
VA134,0,1,urban,244403
VA135,1,1,suburb,140414
VT001,1,1,suburb,66108
VT002,1,1,suburb,36445
VT003,1,1,suburb,35732
VT005,1,1,urban,160501
VT006,1,1,suburb,36876
VT007,0,1,rural,31080
VT008,1,1,suburb,27922
VT009,1,1,suburb,60249
VT010,1,0,suburb,33523
VT011,0,0,suburb,55636
VT012,1,0,suburb,34536
VT014,1,1,suburb,47954
WA001,1,0,suburb,19179
WA002,1,0,urban,22189
WA003,1,0,urban,274295
WA004,0,0,urban,254183
WA005,1,1,urban,114392
WA006,1,0,suburb,72715
WA007,1,1,suburb,3985
WA008,1,0,urban,102133
WA009,0,0,rural,2215
WA010,1,1,suburb,93147
WA011,1,0,suburb,70818
WA013,1,1,suburb,30228
WA014,1,1,suburb,42522
WA015,1,0,suburb,75128
WA016,0,1,rural,10250
WA017,1,1,suburb,60711
WA018,1,0,rural,64302
WA020,1,0,suburb,20561
WA021,NA,0,rural,16015
WA022,1,1,urban,2079967
WA023,1,0,urban,120365
WA024,1,1,urban,759583
WA025,1,1,urban,451008
WA026,1,1,urban,484318
WA027,1,1,urban,831928
WA028,1,0,urban,265851
WA029,1,1,rural,4067
WA030,1,1,suburb,59844
WA031,1,1,urban,208351
WA032,1,0,suburb,46827
WA033,0,0,urban,247687
WA034,1,1,suburb,20861
WA038,0,NA,suburb,11340
WI001,1,1,rural,20215
WI002,1,1,urban,73971
WI003,1,1,suburb,16103
WI004,1,1,suburb,45455
WI005,1,1,rural,14985
WI008,0,0,urban,114889
WI009,0,0,rural,13188
WI010,1,1,rural,15328
WI011,1,1,suburb,49491
WI012,1,1,urban,63460
WI013,1,1,rural,34423
WI014,1,1,suburb,56615
WI015,1,1,suburb,16392
WI016,1,1,urban,18341
WI018,1,1,urban,24555
WI019,1,1,rural,88574
WI020,1,1,suburb,27766
WI021,1,0,urban,43698
WI022,1,0,suburb,44305
WI023,1,1,urban,101564
WI024,1,1,rural,4481
WI025,1,1,urban,101759
WI026,1,1,rural,9127
WI027,0,1,urban,36278
WI029,1,1,suburb,51829
WI031,1,1,suburb,37063
WI032,1,1,rural,18836
WI033,1,1,urban,14332
WI034,1,1,urban,37157
WI035,0,0,urban,7757
WI036,1,1,suburb,23825
WI037,NA,NA,suburb,5917
WI038,1,1,suburb,20652
WI040,1,1,suburb,84395
WI041,1,1,suburb,26395
WI042,0,0,urban,168068
WI043,1,1,rural,20444
WI044,1,1,urban,118011
WI045,0,1,rural,16853
WI046,1,1,suburb,28493
WI047,1,1,urban,516284
WI049,1,0,suburb,80160
WI050,1,1,urban,135780
WI051,0,1,suburb,41298
WI052,1,1,rural,15050
WI053,1,0,urban,17604
WI057,1,0,urban,599642
WI058,NA,1,suburb,45379
WI060,1,0,urban,35053
WI061,1,0,suburb,37417
WI062,1,1,rural,35563
WI064,1,1,urban,182006
WI066,0,0,rural,7335
WI067,1,1,rural,40958
WI068,1,1,urban,43437
WI069,1,1,suburb,70482
WI070,1,1,rural,13675
WI071,0,1,urban,80274
WI072,1,0,suburb,17662
WI073,1,1,urban,161188
WI074,1,1,suburb,14333
WI075,1,1,suburb,63379
WI076,0,0,rural,16437
WI078,1,1,urban,115290
WI080,1,0,urban,21236
WI081,1,1,urban,9547
WI082,1,1,suburb,86759
WI084,0,0,suburb,20540
WI085,1,1,rural,29509
WI086,1,1,suburb,30362
WI087,1,1,rural,21398
WI088,1,0,suburb,103527
WI089,1,0,suburb,15694
WI091,1,1,suburb,23891
WI092,1,0,urban,395118
WI093,1,0,suburb,52066
WI094,0,1,rural,24178
WI095,1,1,urban,47102
WI096,1,1,urban,60624
WI100,1,1,suburb,73608
WI101,0,1,suburb,19410
WI113,1,0,suburb,46101
WI114,1,1,urban,65209
WI115,1,1,urban,169511
WI117,1,1,suburb,220721
WV001,0,1,rural,16766
WV003,0,0,suburb,23714
WV004,0,1,rural,14463
WV005,1,1,urban,23530
WV006,0,1,urban,97109
WV009,0,1,suburb,45132
WV010,0,0,rural,8618
WV011,1,1,suburb,11687
WV012,1,1,rural,35450
WV013,1,1,urban,23483
WV015,1,1,rural,13923
WV016,0,1,suburb,68761
WV017,1,1,suburb,29126
WV019,1,1,urban,190223
WV021,0,1,suburb,35348
WV022,0,1,suburb,56803
WV024,0,1,suburb,27016
WV027,1,1,urban,131904
WV028,0,1,suburb,27578
WV030,1,0,urban,103463
WV031,0,1,rural,13582
WV033,0,0,suburb,25827
WV035,NA,1,rural,8662
WV036,1,1,suburb,33788
WV038,0,1,urban,110497
WV039,1,1,suburb,29429
WV041,0,0,suburb,17069
WV044,0,1,urban,41122
WV046,NA,1,suburb,25086
WV047,1,1,urban,43328
WV050,1,1,rural,21561
WY001,1,1,rural,11930
WY002,0,1,suburb,48320
WY003,1,1,suburb,15854
WY004,0,1,urban,81624
